geo_id,sale_date,acutal_sale_price,sale_value,essence,sale_percentage,city,construction_year,square_meters,n_rooms,se
006495-0231-000-00,23/01/2018,"3,650,000","3,650,000",cottage tori,1,kiryat ono,2011,284,8,0.30350355
006495-0335-000-00,03/05/2018,"3,575,000","3,575,000",cottage tori,0.374,kiryat ono,1990,240,5,5.652849077
006491-0106-001-00,25/10/2017,"854,560","854,560",cottage single family,0.2,kiryat ono,0,0,0,1.458287033
006492-0137-000-00,11/03/2019,"1,500,000","948,000",cottage single family,0.25,kiryat ono,0,0,0,1.303814605
006492-0196-000-00,22/07/2019,"566,667","566,667",cottage single family,0.083,kiryat ono,0,0,0,0.633508438
006492-0262-000-00,25/12/2018,"1,360,000","1,360,000",cottage single family,0.333,kiryat ono,1970,145,6,2.183056967
006493-0052-000-00,06/03/2018,"1,250,000","1,133,333",cottage single family,0.333,kiryat ono,0,0,0,0.854477223
006493-0070-000-00,05/05/2019,"2,800,000","2,560,000",cottage single family,0.66,kiryat ono,0,0,0,4.239781512
006493-0113-000-00,27/05/2018,"5,150,000","5,150,000",cottage single family,1,kiryat ono,1982,350,8,4.153829495
006493-0219-000-00,31/07/2019,"933,333","933,333",cottage single family,0.166,kiryat ono,0,0,0,2.31756585
006493-0254-000-00,31/05/2018,"1,542,500","1,542,500",cottage single family,0.25,kiryat ono,2013,343,6,3.444334149
006493-0280-000-00,06/07/2018,"445,000","445,000",cottage single family,0.5,kiryat ono,1990,206,6,0.401767174
006493-0400-000-00,07/04/2019,"4,508,000","4,508,000",cottage single family,0.7,kiryat ono,0,0,0,9.32953295
006494-0261-001-00,07/08/2019,"1,315,435","1,315,435",cottage single family,0.57,kiryat ono,0,0,0,3.107051362
006495-0028-000-00,03/03/2019,"1,750,000","1,610,000",cottage single family,0.25,kiryat ono,0,0,0,2.992144009
006495-0294-000-00,18/02/2018,"4,200,000","4,200,000",cottage single family,1,kiryat ono,2016,290,7,0.813642472
006495-0319-000-00,07/08/2017,"812,500","800,000",cottage single family,0.2,kiryat ono,0,0,0,1.75413402
007185-0131-002-00,17/03/2019,"1,635,000","1,635,000",cottage single family,0.3,kiryat ono,0,0,0,3.823380909
006490-0338-000-00,15/11/2018,"1,041,000","1,041,000",cottage townhouse,0.25,kiryat ono,0,0,0,1.098966844
006491-0069-000-00,05/03/2019,"327,778","327,778",cottage townhouse,0.111,kiryat ono,1970,111,3.5,0.160354249
006492-0023-000-00,05/03/2019,"4,700,000","4,328,000",cottage townhouse,0.25,kiryat ono,0,0,0,6.720890222
006492-0054-000-00,15/04/2018,"371,428","371,428",cottage townhouse,0.023,kiryat ono,0,0,0,0.191726375
006492-0164-000-00,28/03/2018,"1,295,000","1,295,000",cottage townhouse,0.22,kiryat ono,1992,347,7,2.773744035
006492-0260-001-00,05/07/2018,"3,400,000","3,400,000",cottage townhouse,0.5,kiryat ono,0,0,0,0.689832132
006492-0267-001-00,26/03/2019,"91,666","91,666",cottage townhouse,0.013,kiryat ono,0,0,0,0.21425562
006492-0303-001-00,03/07/2018,"4,000,000","4,000,000",cottage townhouse,1,kiryat ono,1994,193,6,7.459031747
006493-0008-001-00,23/05/2017,"4,443,000","4,443,000",cottage townhouse,0.87,kiryat ono,0,0,0,9.227827091
006493-0088-000-00,23/07/2018,"945,000","945,000",cottage townhouse,0.5,kiryat ono,1998,285,6,2.393451496
006493-0403-000-00,09/12/2018,"4,455,000","4,455,000",cottage townhouse,0.333,kiryat ono,0,0,0,0.469972678
006494-0138-002-00,05/03/2019,"3,447,400","3,447,400",cottage townhouse,1,kiryat ono,1970,207,6,3.169486683
006494-0157-002-00,26/03/2019,"2,100,000","1,900,000",cottage townhouse,0.76,kiryat ono,0,0,0,5.245296714
006494-0245-002-00,22/10/2018,"800,000","800,000",cottage townhouse,0.25,kiryat ono,0,0,0,1.5185889
006495-0120-000-00,19/10/2017,"2,950,000","2,950,000",cottage townhouse,0.291,kiryat ono,1960,119,4,5.920135475
006495-0217-001-00,21/11/2017,"950,000","950,000",cottage townhouse,0.5,kiryat ono,1950,32,1.5,0.604282056
006495-0292-000-00,15/03/2018,"4,270,000","4,270,000",cottage townhouse,0.333,kiryat ono,2018,340,7,9.462712359
006495-0364-000-00,13/06/2019,"492,000","492,000",cottage townhouse,0.25,kiryat ono,2010,276,6,0.295864192
006495-0404-002-00,06/12/2017,"442,804","442,804",cottage townhouse,0.25,kiryat ono,0,0,0,0.982463848
006495-0461-002-00,19/12/2017,"3,050,000","3,050,000",cottage townhouse,1,kiryat ono,1991,179,5,6.773146592
006495-0560-000-00,15/01/2018,"1,250,000","1,250,000",cottage townhouse,0.184,kiryat ono,0,0,0,0.362522554
006496-0133-000-00,16/07/2019,"235,500","235,500",cottage townhouse,0.25,kiryat ono,2000,208,6,0.023182711
006496-0147-000-00,12/08/2018,"3,900,000","3,900,000",cottage townhouse,0.5,kiryat ono,1994,194,7,7.579387683
006496-0180-000-00,10/12/2017,"4,200,000","4,200,000",cottage townhouse,1,kiryat ono,1997,180,6,4.651471124
006496-0237-001-00,11/03/2018,"500,000","545,000",cottage townhouse,0.109,kiryat ono,1950,229,5,0.928369831
006496-0274-002-00,23/12/2018,"5,250,000","5,250,000",cottage townhouse,1,kiryat ono,2011,289,7,5.669638262
006496-0319-002-00,08/08/2017,"1,975,000","1,975,000",cottage townhouse,0.5,kiryat ono,2010,301,5,2.684034737
006497-0356-000-00,29/07/2018,"3,140,000","3,140,000",cottage townhouse,1,kiryat ono,1970,140,5,1.909522103
006497-0403-000-00,27/04/2017,"2,860,000","2,860,000",cottage townhouse,1,kiryat ono,0,0,0,3.336757655
